1101762,1101913
1764875,1765046
1897609,1897755
1264065,1264168
614635,614819
1319368,1319544
926250,926417
1898274,1898380
891307,891467
1797533,1797716
740529,740663
1393816,1393978
1800059,1800203
479777,479951
1802915,1803029
355313,355421
1624067,1624248
899103,899230
1985336,1985472
80160,80330
824092,824249
1020022,1020212
1248337,1248449
1388688,1388824
639082,639217
839120,839257
133436,133592
1846545,1846733
652242,652345
1216265,1216453
1624506,1624684
603949,604094
1748535,1748661
1862833,1863011
356210,356320
977747,977859
1173116,1173294
1277911,1278017
1651573,1651692
1132447,1132628
1829162,1829337
792792,792914
1508936,1509071
1169186,1169361
527306,527484
1666651,1666770
1979208,1979362
926531,926679
1835669,1835817
1684255,1684437
1733854,1733978
947458,947584
1612009,1612114
1591327,1591526
225070,225219
165307,165434
855676,855833
1381865,1382055
1233994,1234147
1065374,1065547
374422,374591
325492,325679
1999495,1999621
1624264,1624398
447315,447444
1084297,1084462
575186,575288
1840341,1840452
1944907,1945054
512710,512839
1178428,1178537
672417,672524
1714427,1714623
261284,261390
1854979,1855148
561721,561905
532206,532388
497466,497597
1452251,1452429
162354,162482
5142,5284
1974243,1974359
368494,368665
257568,257756
384455,384594
1649879,1650013
1983945,1984107
660009,660167
1022516,1022651
981935,982116
699242,699374
1458839,1458958
552782,552964
420706,420854
1804985,1805094
1841112,1841226
709516,709631
907643,907776
700168,700317
710663,710788
1193291,1193468
420958,421088
1582038,1582226
629939,630048
1488414,1488596
1206179,1206378
1527612,1527796
1937375,1937571
1541464,1541633
1470836,1470946
160363,160519
436610,436780
732694,732840
532835,533015
185787,185950
1362904,1363071
1146926,1147034
621436,621608
1093946,1094094
1606726,1606881
418942,419101
1275225,1275381
1584517,1584690
1767173,1767318
1493956,1494151
400615,400806
1261634,1261832
1642354,1642494
1182088,1182230
637738,637920
1689941,1690112
116105,116298
1440828,1440958
1661262,1661390
1844631,1844788
433585,433781
1103136,1103333
835507,835648
1128543,1128739
1633521,1633719
902362,902552
13944,14086
1808089,1808282
1279887,1280068
1246265,1246405
709737,709882
1303535,1303670
747978,748149
629783,629886
333988,334148
1927712,1927900
670888,671076
1066266,1066459
1421134,1421323
1435778,1435945
1597873,1597996
1754001,1754179
28685,28842
1569578,1569771
1354316,1354470
1619033,1619153
1884737,1884936
967698,967855
346057,346188
1519908,1520039
443172,443347
480430,480579
922351,922498
1458240,1458413
1360127,1360260
1769890,1770073
1723087,1723277
582702,582804
1050978,1051128
103225,103413
938870,938977
1079629,1079794
1002148,1002337
649237,649423
1877843,1877987
1261264,1261365
1039397,1039579
1179966,1180088
1461496,1461641
1974286,1974423
6635,6819
1721497,1721655
240521,240686
481978,482098
789412,789582
397863,398051
100927,101104
71570,71695
1642866,1643004
290419,290586
1301222,1301414
1614296,1614417
1511660,1511760
729525,729679
1663915,1664034
1662005,1662136
885466,885618
1289167,1289308
252823,252929
101328,101491
1543784,1543973
723539,723696
1570210,1570406
1842395,1842495
785201,785398
415956,416107
1026398,1026516
800502,800635
1097052,1097214
333477,333616
670133,670233
1480748,1480869
389400,389506
1753208,1753388
1121886,1122082
349131,349320
1993937,1994085
1189007,1189132
661814,661916
1069951,1070077
1010710,1010815
461814,461966
1474750,1474851
1503080,1503229
1053837,1053939
1621216,1621390
171119,171273
569121,569252
1503285,1503404
896113,896228
1870654,1870784
1737493,1737662
1857397,1857590
839655,839783
1031451,1031560
360156,360342
1428914,1429051
1394601,1394763
736069,736252
1015633,1015759
179160,179356
366028,366141
520666,520818
919046,919232
826019,826131
1234181,1234368
1326094,1326255
610602,610721
222180,222369
420653,420844
284336,284451
1298717,1298900
778655,778760
721449,721568
1441838,1441983
674437,674540
1674281,1674383
119536,119709
1854090,1854262
1991257,1991415
523883,524079
806747,806943
503227,503403
944274,944380
1580918,1581108
645992,646192
1371611,1371761
1518979,1519148
1762371,1762494
93789,93975
1830666,1830860
1280275,1280434
646999,647174
987020,987204
218802,218903
1176864,1177009
224319,224518
859954,860149
1463451,1463592
250084,250188
193270,193374
1915941,1916080
1098692,1098880
39238,39357
792576,792743
937536,937724
1425930,1426044
710210,710316
810287,810395
1336649,1336792
1857909,1858084
1110368,1110520
774055,774220
453669,453804
1173156,1173332
1568041,1568145
871501,871676
1220344,1220447
445597,445739
1211701,1211886
625289,625452
314563,314671
359459,359582
1443919,1444097
1647410,1647575
590104,590300
1542007,1542145
1607543,1607726
1471506,1471606
1356318,1356446
1913272,1913404
55269,55423
1861674,1861827
1020299,1020459
715094,715228
1492205,1492395
209276,209394
1892040,1892183
390493,390639
534244,534357
1746029,1746148
159432,159584
385088,385264
737050,737249
162315,162501
1588833,1589021
1568269,1568376
80077,80231
1233078,1233232
1077197,1077374
849154,849294
1997281,1997463
1724989,1725151
1450361,1450524
862385,862508
577700,577815
1106480,1106595
1001596,1001714
372220,372390
315014,315203
799916,800111
1220147,1220258
1199576,1199679
1751996,1752111
165944,166131
1895811,1895967
665335,665495
1908091,1908251
429299,429431
1227415,1227597
266881,266987
1013206,1013397
1129571,1129700
658851,659000
782809,783003
1360450,1360586
37149,37281
337693,337867
1625877,1626041
342130,342296
132166,132353
1618304,1618424
585503,585611
333010,333116
858334,858484
129285,129458
177174,177329
177273,177463
614441,614615
147883,148052
1751408,1751563
81271,81388
1434295,1434449
1264650,1264812
1622020,1622199
1453165,1453307
1846603,1846711
688453,688633
1541067,1541200
1513840,1513988
1353644,1353817
1070029,1070223
1053918,1054095
1268933,1269133
840615,840754
1618602,1618702
1908142,1908319
1318478,1318669
481881,482040
548049,548233
1387678,1387786
199984,200112
1556591,1556777
339622,339786
293174,293363
1336447,1336623
424551,424712
124713,124870
1075262,1075382
916849,917022
398357,398512
1902962,1903155
769179,769287
1705048,1705167
1396029,1396165
1380656,1380811
553636,553748
1009748,1009850
304563,304708
357113,357302
71561,71754
469437,469556
1267872,1267974
1163192,1163367
68117,68264
1521867,1522010
1312382,1312504
1789347,1789510
1160159,1160278
952922,953035
1631963,1632116
1134933,1135123
280783,280887
675508,675614
1787278,1787382
469563,469680
936917,937051
1087624,1087750
1174380,1174536
1745874,1746011
1768509,1768696
1604496,1604625
1019288,1019425
78120,78223
1148813,1148996
177754,177863
1954796,1954967
816481,816623
17163,17355
251351,251457
1606341,1606470
1464883,1465032
300939,301053
332116,332299
576366,576523
305684,305828
118073,118183
419754,419854
1713054,1713164
1605434,1605626
1737882,1738037
75436,75583
883320,883494
767743,767896
832720,832903
935440,935582
1007857,1008056
1488862,1489022
